date,aveiro_rental,aveiro_sale,azores_sale,beja_sale,braga_sale,braganca_sale,castelo-branco_sale,coimbra_sale,evora_sale,faro_rental,faro_sale,guarda_sale,leiria_rental,leiria_sale,lisboa_rental,lisboa_sale,madeira_sale,portalegre_sale,porto_rental,porto_sale,portugal_rental,portugal_sale,santarem_rental,santarem_sale,setubal_rental,setubal_sale,viana-do-castelo_sale,vila-real_sale,viseu_sale,braga_rental,castelo-branco_rental,coimbra_rental,madeira_rental,viana-do-castelo_rental,vila-real_rental,viseu_rental,beja_rental,guarda_rental,evora_rental,portalegre_rental,azores_rental
2022-05-01,6.8,1514,1056.6666666666667,837,1306,790,702,1206,1026,10.9,2726,1334,6.8,1334,13.4,3784,1813,616,10,2338,11.2,2333,5.7,877,9,2065,1110,868,896,6.7,5.4,7.2,9.8,6.2,4.4,5.1,NA,NA,NA,NA,6.9
2022-06-01,7.1,1523,1070.5,823,1341,782,706,1199,1051,11.6,2767,1367,7.1,1367,13.6,3810,1839.5,622,10.1,2352,11.3,2349,5.9,908,9.2,2108,1147,867,889,6.7,5.6,7,10.3,6.3,4.2,5.2,NA,NA,8.5,NA,NA
2022-07-01,7.2,1536,1126,861,1362,811,726,1197,1053,11.5,2796,1373,7.1,1373,13.8,3811,1865.5,636,10.1,2345,11.4,2352,6,922,9.4,2154,1149,856,894,6.9,6,7.3,10.9,6.8,4.9,5.1,NA,NA,NA,NA,NA
2022-08-01,7.4,1585,1129.5,854,1377,813,720,1200,1047,11.5,2831,1378,7.5,1378,14.2,3820,1908.5,644,10.2,2383,11.6,2367,5.9,936,9.5,2183,1166,902,902,7.2,6.1,7.4,10.5,7.6,5.1,5.4,NA,NA,NA,NA,NA
2022-09-01,7.2,1619,1144.1666666666667,886,1382,821,712,1220,1123,11.4,2890,1372,7.2,1372,14.6,3775,1922.5,642,10.5,2398,11.8,2363,6,953,9.5,2210,1181,927,913,7,6.3,7.7,10.5,7.8,5.5,5.4,NA,NA,NA,NA,NA
2022-10-01,7.8,1628,1142.8333333333333,925,1380,847,709,1261,1137,11.1,2957,1383,7.5,1383,15.3,3787,1958,639,10.9,2399,12.1,2386,6.3,976,9.9,2249,1173,929,927,6.9,5.6,7.9,11,7.8,5.6,5.6,NA,NA,8.6,5,NA
2022-11-01,8,1645,1204,934,1403,875,717,1301,1176,11,3003,1410,7.5,1410,15.8,3798,2014,642,11.5,2392,12.4,2418,6.2,982,10.2,2276,1193,936,954,7.3,5.7,7.9,10.8,7.6,5.7,5.4,NA,NA,9,4.6,8.3
2022-12-01,8.1,1652,1166.4,934,1418,868,714,1295,1272,11.2,3027,1412,7.8,1412,16.3,3782,2099,633,12.2,2420,12.9,2432,6.3,999,10.3,2292,1205,979,934,7.5,6.3,7.6,10.8,7.7,6.8,5.6,NA,NA,9.3,4.5,8
2023-01-01,8.1,1673,1219.2,952,1397,863,726,1286,1434,11.6,3041,1430,7.9,1430,16.5,3790,2117,627,12.6,2427,13.1,2436,6.5,1008,10.5,2306,1225,958,908,7.5,6.3,7.7,10.9,8.7,5.4,5.8,NA,NA,9.6,4.8,NA
2023-02-01,8.3,1661,1302.6666666666667,936,1456,866,749,1275,1466,11.5,3065,1444,8,1444,16.9,3819,2146,630,12.7,2413,13.3,2446,6.5,1014,10.6,2308,1255,944,919,7.6,6.2,7.8,11,8.2,5.5,6.4,NA,NA,9,5.3,NA
2023-03-01,8.4,1648,1282.6666666666667,952,1513,859,757,1318,1441,11.9,3082,1445,8.4,1445,17.1,3820,2149,638,12.8,2423,13.6,2454,7,1026,11,2316,1311,929,936,7.9,6.1,8,11.1,8,5.4,6.3,NA,NA,8.7,5.4,NA
2023-04-01,8.2,1672,1209.2,976,1549,870,772,1347,1446,12.2,3098,1441,8.8,1441,17.3,3845,2174.5,634,12.9,2462,13.8,2480,7,1030,11.1,2330,1328,956,955,8,6.1,8.3,11.9,7.6,5.5,5.7,NA,NA,8.9,5.3,8.9
2023-05-01,8.1,1660,1215.2,1002,1546,887,765,1389,1381,12.2,3115,1453,8.5,1453,17.6,3840,2231,651,13,2463,14.1,2483,7,1042,11.3,2358,1386,944,986,8.2,6.4,9,12.1,7.8,5.6,5.7,NA,NA,9.7,5.5,NA
2023-06-01,8.2,1665,1269,1037,1518,874,788,1408,1385,13.1,3137,1482,8.5,1482,18,3864,2238.5,665,13.3,2493,14.5,2507,7,1047,11.4,2398,1445,964,989,8.3,6.6,9.1,13.1,7.8,6.3,6,8,NA,9.9,5.6,NA
2023-07-01,9,1684,1250.8,1048,1504,853,776,1389,1398,13.7,3150,1483,8.7,1483,18.6,3842,2315.5,659,13.6,2475,15,2503,7,1068,11.7,2427,1471,969,995,8.5,6.2,9.4,13.7,8.4,6.6,6.4,8.1,NA,10.4,5.7,NA
2023-08-01,9.8,1678,1273.2,1057,1515,857,759,1380,1334,13.6,3173,1509,8.9,1509,18.8,3823,2330.5,682,14,2448,15.3,2494,7.2,1078,11.9,2455,1471,946,1030,8.9,6.7,9.6,13.3,9.2,6.6,7.2,8.4,NA,10.7,5.8,NA
2023-09-01,9.6,1625,1266.6,1055,1513,866,762,1366,1340,13.6,3191,1525,9,1525,19.1,3820,2381.5,690,14.2,2445,15.3,2491,7,1088,11.9,2454,1418,957,1042,8.8,6.9,9.7,13.2,9.1,6.2,7,8.3,NA,11.2,5.7,NA
2023-10-01,9.4,1644,1305.3333333333333,1047,1511,874,771,1358,1251,13.2,3200,1525,8.7,1525,19.1,3841,2412.5,667,14.7,2450,15.3,2500,7.4,1094,12.3,2463,1406,962,1033,8.8,6.7,9.3,13,8.3,6.3,6.4,9,NA,10.8,6,11
2023-11-01,9.3,1662,1438,1067,1515,865,861,1377,1299,13.1,3215,1549,8.9,1549,19,3861,2506.5,700,14.9,2487,15.3,2530,7.4,1128,12.5,2464,1409,949,1073,8.6,6.9,9.4,12.8,8.1,6.2,6.9,8.9,NA,10.3,5.6,9.6
2023-12-01,9.3,1668,1354.5,1054,1501,872,867,1391,1322,13.2,3251,1557,9.3,1557,19.1,3896,2571,721,15.1,2516,15.5,2561,7.3,1126,12.5,2444,1457,942,1066,8.5,7.5,9.8,13.5,8.1,6.2,7.4,9,NA,10.3,6.1,9.1
2024-01-01,9.1,1685,1432.6666666666667,1051,1511,870,901,1403,1235,13.2,3283,1572,9.5,1572,19.6,3949,2605,718,15.1,2551,15.8,2582,7.6,1136,12.6,2450,1455,963,1081,9,7.1,9.9,14.3,8,6,7.4,8.7,NA,10.3,6.6,8.7
2024-02-01,9.1,1680,1431.3333333333333,1083,1526,858,900,1401,1256,13.3,3303,1585,9.3,1585,19.7,3987,2616.5,708,15.1,2567,15.8,2596,7.3,1137,12.6,2469,1432,971,1081,9.1,6.8,10.1,13.7,8.3,5.8,7.3,9.3,NA,10,6.2,9.1
2024-03-01,9.4,1687,1353.5,1071,1520,877,832,1410,1273,13.4,3321,1604,9.3,1604,19.6,4008,2619,717,15.1,2581,15.8,2610,7.5,1135,12.6,2472,1437,972,1093,9.1,6.8,10.3,13.4,8.2,5.9,7.1,10.2,NA,9.9,5.8,8.5
2024-04-01,9.7,1723,1387.3333333333333,1098,1547,884,839,1389,1280,13.6,3334,1616,9.2,1616,19.8,4027,2628,724,15.2,2580,16.1,2622,7.8,1160,12.6,2472,1466,973,1118,9.4,7.2,10.7,13.8,8.2,5.9,7.2,9.9,NA,10.1,6.1,NA
2024-05-01,9.8,1709,1370.1666666666667,1114,1610,882,852,1385,1284,13.6,3355,1651,9.2,1651,19.8,4060,2668.5,719,15.4,2612,16.1,2654,7.9,1169,12.8,2511,1483,976,1145,9.2,7,10.5,14.2,8.5,5.7,6.9,10,NA,9.7,6.6,NA
2024-06-01,9.6,1709,1398.6666666666667,1085,1659,880,867,1409,1303,14.1,3373,1631,9.5,1631,19.8,4096,2677,733,15.3,2656,16.2,2683,8,1171,12.8,2548,1381,983,1121,9.2,7.1,10.3,14.1,8.6,6.2,7.1,9.2,NA,10,6.5,NA
2024-07-01,9.6,1705,1429,1092,1610,891,853,1411,1321,14.4,3414,1641,9.4,1641,19.9,4117,2699.5,742,15.4,2680,16.3,2696,8,1175,12.9,2563,1398,1008,1066,9.2,7.1,10.6,13.6,8.1,6.3,7.4,9.4,NA,10.2,6,NA
2024-08-01,9.5,1732,1443,1130,1626,902,850,1444,1328,14.6,3467,1645,10,1645,19.8,4156,2735,750,15.3,2743,16.3,2722,8.2,1189,13,2596,1443,1029,1085,9.2,6.8,10.6,13.7,8.1,6.4,7,9.3,NA,10.7,6.1,NA
2024-09-01,9.5,1757,1452,1146,1644,907,858,1461,1361,14.6,3513,1694,9.7,1694,20,4174,2821,761,15.4,2764,16.3,2735,8.1,1215,13.2,2619,1472,1030,1091,9.4,6.7,10.7,13.7,8.3,6.8,6.7,8.9,NA,10.1,6.2,NA
2024-10-01,9.7,1729,1403.8333333333333,1165,1643,943,858,1464,1395,14.5,3522,1691,9.4,1691,19.9,4152,2842,776,15.5,2789,16.1,2733,8,1237,13.2,2629,1479,1039,1097,9.5,7,10.5,14.4,8.5,7.4,7.1,8.6,NA,10.1,7,NA
2024-11-01,9.6,1760,1416.6666666666667,1208,1685,922,866,1494,1415,14.3,3528,1710,9.4,1710,19.9,4225,2898.5,798,15.5,2867,16.1,2783,8.2,1255,13.4,2654,1461,1041,1118,9.6,7.1,10.4,15.1,8.5,7.4,7.2,8.8,NA,10.4,6.9,10.1
2024-12-01,9.6,1829,1451.8333333333333,1209,1689,917,908,1524,1446,14.3,3558,1737,9.6,1737,20,4279,2933,811,15.7,2916,16.2,2827,8.2,1279,13.4,2700,1481,1056,1147,9.5,7.3,10.4,15.2,8.4,7.5,7.3,10.2,NA,10.9,6.9,9.7
2025-01-01,9.6,1787,1465.8333333333333,1187,1645,907,879,1458,1434,15.2,3507,1713,9.3,1713,20.1,4104,2977.5,823,15.7,2733,16.4,2693,8.2,1298,13.6,2677,1472,1047,1108,9.7,7.3,10.2,15.6,9.2,7.8,7.2,9.5,7.2,10.9,6.9,10.3
2025-02-01,9.6,1835,1464.1666666666667,1238,1684,903,901,1496,1495,15.8,3533,1730,9.4,1730,20.1,4167,3024,828,15.4,2789,16.4,2742,8.4,1315,13.8,2714,1486,1063,1155,9.9,7,10.2,15.7,8.9,7.6,7.3,9.4,6.8,11.1,6.7,10.7
2025-03-01,9.6,1854,1525.3333333333333,1226,1692,903,941,1507,1492,15.3,3543,1751,9.6,1751,20.2,4211,3042,843,15.6,2848,16.6,2775,8.5,1328,13.8,2752,1525,1095,1170,10.2,7.5,11,15.5,8.9,8.2,7.5,9.2,7.2,11.1,6.5,10.4
