period,transaction_value_thousands,transaction_count,year,quarter,date,avg_transaction_value,avg_2015_transaction_value,avg_2015_transaction_count,value_index,volume_index
4T2015,3071762,25205,2015,4,2015-10-01,121871.13667923032,120911.01849400789,22627.25,100.79407005017495,111.39223723607597
1T2016,3001077,24926,2016,1,2016-01-01,120399.46240872984,120911.01849400789,22627.25,99.57691524589762,110.1592106862301
2T2016,3267885,26890,2016,2,2016-04-01,121527.89140944589,120911.01849400789,22627.25,100.5101875107177,118.83901048514511
3T2016,3173236,26675,2016,3,2016-07-01,118959.17525773196,120911.01849400789,22627.25,98.38571929954203,117.8888287352639
4T2016,3551512,28999,2016,4,2016-10-01,122470.15414324631,120911.01849400789,22627.25,101.2894901297318,128.15963053398005
1T2017,3800102,29975,2017,1,2017-01-01,126775.7130942452,120911.01849400789,22627.25,104.85042196590872,132.47301373344087
2T2017,4021419,31197,2017,2,2017-04-01,128904.02923358015,120911.01849400789,22627.25,106.61065537213086,137.8735816327658
3T2017,4258992,32722,2017,3,2017-07-01,130156.83637919443,120911.01849400789,22627.25,107.64679513938984,144.61324288192336
4T2017,4898678,35940,2017,4,2017-10-01,136301.55815247635,120911.01849400789,22627.25,112.72881483438269,158.83503298014563
1T2018,4755125,34449,2018,1,2018-01-01,138033.76005109,120911.01849400789,22627.25,114.16144018167434,152.2456330309693
2T2018,5425227,38730,2018,2,2018-04-01,140078.15646785437,120911.01849400789,22627.25,115.8522674050557,171.16529847860434
3T2018,5512302,38964,2018,3,2018-07-01,141471.66615337235,120911.01849400789,22627.25,117.00477583884003,172.19944977847507
4T2018,5414883,39066,2018,4,2018-10-01,138608.58547074182,120911.01849400789,22627.25,114.63685212246475,172.65023367841872
1T2019,5261090,36954,2019,1,2019-01-01,142368.62044704228,120911.01849400789,22627.25,117.7466059092851,163.31635527958545
2T2019,5414806,36681,2019,2,2019-04-01,147618.82173332243,120911.01849400789,22627.25,122.08880842455076,162.10984542973628
3T2019,5800028,39554,2019,3,2019-07-01,146635.68792031147,120911.01849400789,22627.25,121.27570319621321,174.80692527814915
4T2019,6136268,41676,2019,4,2019-10-01,147237.45081101832,120911.01849400789,22627.25,121.77339389322496,184.18499817697688
1T2020,5785538,36399,2020,1,2020-01-01,158947.71834391056,120911.01849400789,22627.25,131.4584231641285,160.86356052989206
2T2020,4125502,26379,2020,2,2020-04-01,156393.41900754388,120911.01849400789,22627.25,129.34587844472952,116.58067153542741
3T2020,5427603,35596,2020,3,2020-07-01,152477.8907742443,120911.01849400789,22627.25,126.10752326248975,157.31474218033566
4T2020,6098441,39139,2020,4,2020-10-01,155814.94161833465,120911.01849400789,22627.25,128.86744612614154,172.97285352837838
1T2021,5595240,34614,2021,1,2021-01-01,161646.7325359681,120911.01849400789,22627.25,133.69065495381548,152.97484228087814
2T2021,6933006,41736,2021,2,2021-04-01,166115.7274295572,120911.01849400789,22627.25,137.38675721914424,184.45016517694373
3T2021,7345978,43447,2021,3,2021-07-01,169079.0618454669,120911.01849400789,22627.25,139.83759623515712,192.01184412599852
4T2021,8225207,45885,2021,4,2021-10-01,179256.99030184155,120911.01849400789,22627.25,148.2552976019511,202.7864632246517
1T2022,8081797,43544,2022,1,2022-01-01,185600.70273746096,120911.01849400789,22627.25,153.50189341648706,192.44053077594495
2T2022,8287705,43607,2022,2,2022-04-01,190054.4637328869,120911.01849400789,22627.25,157.1853964180325,192.71895612591013
3T2022,8051492,42223,2022,3,2022-07-01,190689.7188735997,120911.01849400789,22627.25,157.71078703058802,186.6024373266747
4T2022,7362219,38526,2022,4,2022-10-01,191097.41473290764,120911.01849400789,22627.25,158.04797371910158,170.26373067871702
1T2023,6857332,34493,2023,1,2023-01-01,198803.58333574928,120911.01849400789,22627.25,164.42139501587408,152.440088830945
2T2023,6904628,33624,2023,2,2023-04-01,205348.20366404948,120911.01849400789,22627.25,169.83415260390527,148.59958678142505
3T2023,7072380,34256,2023,3,2023-07-01,206456.67912190565,120911.01849400789,22627.25,170.75092220163313,151.39267918107592
4T2023,7174277,34126,2023,4,2023-10-01,210229.06288460412,120911.01849400789,22627.25,173.87088910761483,150.81815068114773
1T2024,6730533,33077,2024,1,2024-01-01,203480.7570214953,120911.01849400789,22627.25,168.28967248471187,146.18214763172722
2T2024,7876682,37125,2024,2,2024-04-01,212166.5185185185,120911.01849400789,22627.25,175.47327047702692,164.072081229491
3T2024,9052016,40909,2024,3,2024-07-01,221271.99393776432,120911.01849400789,22627.25,183.003994750677,180.7952800274006
4T2024,10173942,45214,2024,4,2024-10-01,225017.51669836775,120911.01849400789,22627.25,186.10174614443363,199.82101227502238
1T2025,9617638,41358,2025,1,2025-01-01,232546.01286329125,120911.01849400789,22627.25,192.32822265475812,182.77961307715256
